prefix,provider,origin,time,as_path,scrubber,t_start,t_end
103.71.154.0/24,136933,132325,1733243161.0,"['12307', '29691', '1299', '59796', '136933', '132325']",59796,1733243125,1733245098
103.71.154.0/24,136933,132325,1733243161.0,"['12307', '29691', '33891', '59796', '136933', '132325']",59796,1733243125,1733245098
103.71.154.0/24,136933,132325,1733243161.0,"['6461', '9002', '59796', '136933', '132325']",59796,1733243125,1733245098
103.71.154.0/24,136933,132325,1733243161.0,"['20612', '9044', '9002', '59796', '136933', '132325']",59796,1733243125,1733245098
103.71.154.0/24,136933,132325,1733243161.0,"['20612', '9044', '9002', '59796', '136933', '132325']",59796,1733243125,1733245098
103.71.154.0/24,136933,132325,1733243161.0,"['29691', '1299', '59796', '136933', '132325']",59796,1733243125,1733245098
103.71.154.0/24,136933,132325,1733243161.0,"['29691', '33891', '59796', '136933', '132325']",59796,1733243125,1733245098
103.71.154.0/24,136933,132325,1733243161.0,"['24482', '3223', '136933', '136933', '136933', '136933', '132325']",3223,1733243125,1733245098
103.71.154.0/24,136933,132325,1733243161.0,"['58057', '1836', '33891', '59796', '136933', '132325']",59796,1733243125,1733245098
103.71.154.0/24,136933,132325,1733243161.0,"['47147', '1299', '59796', '136933', '132325']",59796,1733243125,1733245098
103.71.154.0/24,136933,132325,1733243161.0,"['196621', '8758', '33891', '59796', '136933', '132325']",59796,1733243125,1733245098
103.71.154.0/24,136933,132325,1733243161.0,"['8218', '9002', '59796', '136933', '132325']",59796,1733243125,1733245098
103.71.154.0/24,136933,132325,1733243161.0,"['8218', '33891', '59796', '136933', '132325']",59796,1733243125,1733245098
103.71.154.0/24,136933,132325,1733243161.0,"['51873', '6939', '59796', '136933', '132325']",59796,1733243125,1733245098
103.71.154.0/24,136933,132325,1733243161.0,"['51873', '9002', '59796', '136933', '132325']",59796,1733243125,1733245098
103.71.154.0/24,136933,132325,1733243161.0,"['37271', '9002', '59796', '136933', '132325']",59796,1733243125,1733245098
103.71.154.0/24,136933,132325,1733243161.0,"['37239', '37100', '9002', '59796', '136933', '132325']",59796,1733243125,1733245098
103.71.154.0/24,136933,132325,1733243161.0,"['199524', '174', '3491', '136933', '136933', '132325']",199524,1733243125,1733245098
103.71.154.0/24,136933,132325,1733243161.0,"['6461', '33891', '59796', '136933', '132325']",59796,1733243125,1733245098
103.71.154.0/24,136933,132325,1733243161.0,"['8218', '9002', '59796', '136933', '132325']",59796,1733243125,1733245098
103.71.154.0/24,136933,132325,1733243161.0,"['8218', '9002', '59796', '136933', '132325']",59796,1733243125,1733245098
103.71.154.0/24,136933,132325,1733243161.0,"['8218', '33891', '59796', '136933', '132325']",59796,1733243125,1733245098
103.71.154.0/24,136933,132325,1733243161.0,"['8426', '3223', '136933', '136933', '136933', '136933', '132325']",3223,1733243125,1733245098
103.71.154.0/24,136933,132325,1733243161.0,"['8426', '9002', '59796', '136933', '132325']",59796,1733243125,1733245098
103.71.154.0/24,136933,132325,1733243161.0,"['8426', '33891', '59796', '136933', '132325']",59796,1733243125,1733245098
103.71.154.0/24,136933,132325,1733243161.0,"['37721', '33891', '59796', '136933', '132325']",59796,1733243125,1733245098
103.71.154.0/24,136933,132325,1733243161.0,"['50628', '33891', '59796', '136933', '132325']",59796,1733243125,1733245098
103.71.154.0/24,136933,132325,1733243161.0,"['8218', '9002', '59796', '136933', '132325']",59796,1733243125,1733245098
103.71.154.0/24,136933,132325,1733243161.0,"['8218', '33891', '59796', '136933', '132325']",59796,1733243125,1733245098
103.71.154.0/24,136933,132325,1733243161.0,"['34019', '47160', '33891', '59796', '136933', '132325']",59796,1733243125,1733245098
103.71.154.0/24,136933,132325,1733243161.0,"['6762', '1299', '59796', '136933', '132325']",59796,1733243125,1733245098
103.71.154.0/24,136933,132325,1733243161.0,"['7575', '2914', '59796', '59796', '136933', '132325']",59796,1733243125,1733245098
103.71.154.0/24,136933,132325,1733243161.0,"['47147', '1299', '59796', '136933', '132325']",59796,1733243125,1733245098
103.71.154.0/24,136933,132325,1733243161.0,"['8218', '9002', '59796', '136933', '132325']",59796,1733243125,1733245098
103.71.154.0/24,136933,132325,1733243161.0,"['8218', '33891', '59796', '136933', '132325']",59796,1733243125,1733245098
103.71.154.0/24,136933,132325,1733243161.0,"['40994', '1299', '1299', '59796', '136933', '132325']",59796,1733243125,1733245098
103.71.154.0/24,136933,132325,1733243161.0,"['13237', '33891', '59796', '136933', '132325']",59796,1733243125,1733245098
103.71.154.0/24,136933,132325,1733243161.0,"['47692', '3356', '3223', '136933', '136933', '136933', '136933', '132325']",3223,1733243125,1733245098
103.71.154.0/24,136933,132325,1733243161.0,"['47692', '3356', '3223', '136933', '136933', '136933', '136933', '132325']",3223,1733243125,1733245098
103.71.154.0/24,136933,132325,1733243161.0,"['47692', '33891', '59796', '136933', '132325']",59796,1733243125,1733245098
103.71.154.0/24,136933,132325,1733243161.0,"['51184', '47692', '33891', '59796', '136933', '132325']",59796,1733243125,1733245098
103.71.154.0/24,136933,132325,1733243161.0,"['41722', '20485', '9002', '59796', '136933', '132325']",59796,1733243125,1733245098
103.71.154.0/24,136933,132325,1733243161.0,"['28917', '33891', '59796', '136933', '132325']",59796,1733243125,1733245098
103.71.154.0/24,136933,132325,1733243161.0,"['20764', '12389', '9002', '59796', '136933', '132325']",59796,1733243125,1733245098
103.71.154.0/24,136933,132325,1733243161.0,"['20764', '33891', '59796', '136933', '132325']",59796,1733243125,1733245098
103.71.154.0/24,136933,132325,1733243161.0,"['24482', '33891', '59796', '136933', '132325']",59796,1733243125,1733245098
103.71.154.0/24,136933,132325,1733243161.0,"['1828', '33891', '59796', '136933', '132325']",59796,1733243125,1733245098
103.71.154.0/24,136933,132325,1733243161.0,"['1828', '33891', '59796', '136933', '132325']",59796,1733243125,1733245098
103.71.154.0/24,136933,132325,1733243161.0,"['9002', '59796', '136933', '132325']",59796,1733243125,1733245098
103.71.154.0/24,136933,132325,1733243161.0,"['39122', '1299', '3223', '136933', '136933', '136933', '136933', '132325']",3223,1733243125,1733245098
103.71.154.0/24,136933,132325,1733243161.0,"['39122', '1299', '3223', '136933', '136933', '136933', '136933', '132325']",3223,1733243125,1733245098
103.71.154.0/24,136933,132325,1733243161.0,"['39122', '1299', '59796', '136933', '132325']",59796,1733243125,1733245098
103.71.154.0/24,136933,132325,1733243161.0,"['62167', '3356', '3223', '136933', '136933', '136933', '136933', '132325']",3223,1733243125,1733245098
103.71.154.0/24,136933,132325,1733243161.0,"['34927', '1299', '3223', '136933', '136933', '136933', '136933', '132325']",3223,1733243125,1733245098
103.71.154.0/24,136933,132325,1733243161.0,"['34927', '1299', '59796', '136933', '132325']",59796,1733243125,1733245098
103.71.154.0/24,136933,132325,1733243161.0,"['42473', '1299', '3223', '136933', '136933', '136933', '136933', '132325']",3223,1733243125,1733245098
103.71.154.0/24,136933,132325,1733243161.0,"['42473', '1299', '59796', '136933', '132325']",59796,1733243125,1733245098
103.71.154.0/24,136933,132325,1733243161.0,"['8218', '9002', '59796', '136933', '132325']",59796,1733243125,1733245098
103.71.154.0/24,136933,132325,1733243161.0,"['8218', '9002', '59796', '136933', '132325']",59796,1733243125,1733245098
103.71.154.0/24,136933,132325,1733243161.0,"['8218', '33891', '59796', '136933', '132325']",59796,1733243125,1733245098
103.71.154.0/24,136933,132325,1733243161.0,"['396998', '9002', '59796', '136933', '132325']","396998,59796",1733243125,1733245098
103.71.154.0/24,136933,132325,1733243161.0,"['3257', '1299', '59796', '136933', '132325']",59796,1733243125,1733245098
103.71.154.0/24,136933,132325,1733243161.0,"['3257', '1299', '59796', '136933', '132325']",59796,1733243125,1733245098
103.71.154.0/24,136933,132325,1733243161.0,"['6461', '9002', '59796', '136933', '132325']",59796,1733243125,1733245098
103.71.154.0/24,136933,132325,1733243161.0,"['6461', '9002', '59796', '136933', '132325']",59796,1733243125,1733245098
103.71.154.0/24,136933,132325,1733243161.0,"['6461', '1299', '59796', '136933', '132325']",59796,1733243125,1733245098
103.71.154.0/24,136933,132325,1733243161.0,"['6830', '1299', '59796', '136933', '132325']",59796,1733243125,1733245098
103.71.154.0/24,136933,132325,1733243161.0,"['6424', '33891', '59796', '136933', '132325']",59796,1733243125,1733245098
103.71.154.0/24,136933,132325,1733243161.0,"['6424', '33891', '59796', '136933', '132325']",59796,1733243125,1733245098
103.71.154.0/24,136933,132325,1733243161.0,"['1299', '3223', '136933', '136933', '136933', '136933', '132325']",3223,1733243125,1733245098
103.71.154.0/24,136933,132325,1733243161.0,"['1299', '3223', '136933', '136933', '136933', '136933', '132325']",3223,1733243125,1733245098
103.71.154.0/24,136933,132325,1733243161.0,"['6233', '1299', '3223', '136933', '136933', '136933', '136933', '132325']",3223,1733243125,1733245098
103.71.154.0/24,136933,132325,1733243161.0,"['6233', '1299', '59796', '136933', '132325']",59796,1733243125,1733245098
103.71.154.0/24,136933,132325,1733243161.0,"['207841', '137409', '58453', '58453', '58453', '58453', '135056', '136933', '136933', '136933', '136933', '132325']",137409,1733243125,1733245098
103.71.154.0/24,136933,132325,1733243161.0,"['207841', '137409', '58453', '58453', '58453', '135056', '136933', '136933', '136933', '136933', '132325']",137409,1733243125,1733245098
103.71.154.0/24,136933,132325,1733243161.0,"['207841', '137409', '59796', '136933', '132325']","59796,137409",1733243125,1733245098
103.71.154.0/24,136933,132325,1733243161.0,"['917', '25369', '33891', '59796', '136933', '132325']",59796,1733243125,1733245098
103.71.154.0/24,136933,132325,1733243161.0,"['6461', '33891', '59796', '136933', '132325']",59796,1733243125,1733245098
103.71.154.0/24,136933,132325,1733243161.0,"['13030', '3223', '136933', '136933', '136933', '136933', '132325']",3223,1733243125,1733245098
103.71.154.0/24,136933,132325,1733243161.0,"['13030', '33891', '59796', '136933', '132325']",59796,1733243125,1733245098
103.71.154.0/24,136933,132325,1733243161.0,"['24482', '33891', '59796', '136933', '132325']",59796,1733243125,1733245098
103.71.154.0/24,136933,132325,1733243161.0,"['1299', '59796', '136933', '132325']",59796,1733243125,1733245098
103.71.154.0/24,136933,132325,1733243161.0,"['271253', '1299', '59796', '136933', '132325']",59796,1733243125,1733245098
103.71.154.0/24,136933,132325,1733243161.0,"['3170', '3356', '3223', '136933', '136933', '136933', '136933', '132325']",3223,1733243125,1733245098
103.71.154.0/24,136933,132325,1733243161.0,"['6461', '1299', '59796', '136933', '132325']",59796,1733243125,1733245098
103.71.154.0/24,136933,132325,1733243161.0,"['6233', '1299', '3223', '136933', '136933', '136933', '136933', '132325']",3223,1733243125,1733245098
103.71.154.0/24,136933,132325,1733243161.0,"['6233', '1299', '59796', '136933', '132325']",59796,1733243125,1733245098
103.71.154.0/24,136933,132325,1733243161.0,"['39351', '1299', '3223', '136933', '136933', '136933', '136933', '132325']",3223,1733243125,1733245098
103.71.154.0/24,136933,132325,1733243161.0,"['39351', '1299', '59796', '136933', '132325']",59796,1733243125,1733245098
103.71.154.0/24,136933,132325,1733243161.0,"['49544', '33891', '59796', '136933', '132325']",59796,1733243125,1733245098
103.71.154.0/24,136933,132325,1733243161.0,"['8218', '9002', '59796', '136933', '132325']",59796,1733243125,1733245098
103.71.154.0/24,136933,132325,1733243161.0,"['8218', '9002', '59796', '136933', '132325']",59796,1733243125,1733245098
103.71.154.0/24,136933,132325,1733243161.0,"['14907', '1299', '59796', '136933', '132325']",59796,1733243125,1733245098
103.71.154.0/24,136933,132325,1733243161.0,"['34019', '8218', '9002', '59796', '136933', '132325']",59796,1733243125,1733245098
103.71.154.0/24,136933,132325,1733243161.0,"['24482', '33891', '59796', '136933', '132325']",59796,1733243125,1733245098
103.71.154.0/24,136933,132325,1733243161.0,"['6830', '1299', '1299', '3223', '136933', '136933', '136933', '136933', '132325']",3223,1733243125,1733245098
103.71.154.0/24,136933,132325,1733243161.0,"['6830', '1299', '59796', '136933', '132325']",59796,1733243125,1733245098
103.71.154.0/24,136933,132325,1733243161.0,"['8455', '1299', '59796', '136933', '132325']",59796,1733243125,1733245098
103.71.154.0/24,136933,132325,1733243161.0,"['6453', '1299', '59796', '136933', '132325']",59796,1733243125,1733245098
103.71.154.0/24,136933,132325,1733243161.0,"['47147', '1299', '59796', '136933', '132325']",59796,1733243125,1733245098
103.71.154.0/24,136933,132325,1733243161.0,"['399580', '6939', '3223', '136933', '136933', '136933', '136933', '132325']",3223,1733243125,1733245098
103.71.154.0/24,136933,132325,1733243161.0,"['399580', '6939', '3223', '136933', '136933', '136933', '136933', '132325']",3223,1733243125,1733245098
103.71.154.0/24,136933,132325,1733243161.0,"['399580', '6939', '3223', '136933', '136933', '136933', '136933', '132325']",3223,1733243125,1733245098
103.71.154.0/24,136933,132325,1733243161.0,"['399580', '6939', '59796', '136933', '132325']",59796,1733243125,1733245098
103.71.154.0/24,136933,132325,1733243161.0,"['1103', '33891', '59796', '136933', '132325']",59796,1733243125,1733245098
103.71.154.0/24,136933,132325,1733243161.0,"['12859', '33891', '59796', '136933', '132325']",59796,1733243125,1733245098
103.71.154.0/24,136933,132325,1733243161.0,"['205206', '1299', '3223', '136933', '136933', '136933', '136933', '132325']",3223,1733243125,1733245098
103.71.154.0/24,136933,132325,1733243161.0,"['205206', '1299', '59796', '136933', '132325']",59796,1733243125,1733245098
103.71.154.0/24,136933,132325,1733243161.0,"['29222', '3356', '3223', '136933', '136933', '136933', '136933', '132325']",3223,1733243125,1733245098
103.71.154.0/24,136933,132325,1733243161.0,"['29222', '1299', '59796', '136933', '132325']",59796,1733243125,1733245098
103.71.154.0/24,136933,132325,1733243161.0,"['29222', '33891', '59796', '136933', '132325']",59796,1733243125,1733245098
103.71.154.0/24,136933,132325,1733243161.0,"['49673', '20485', '9002', '59796', '136933', '132325']",59796,1733243125,1733245098
103.71.154.0/24,136933,132325,1733243161.0,"['852', '33891', '59796', '136933', '132325']",59796,1733243125,1733245098
103.71.154.0/24,136933,132325,1733243161.0,"['13830', '3356', '3223', '136933', '136933', '136933', '136933', '132325']",3223,1733243125,1733245098
103.71.154.0/24,136933,132325,1733243161.0,"['13830', '3356', '3223', '136933', '136933', '136933', '136933', '132325']",3223,1733243125,1733245098
103.71.154.0/24,136933,132325,1733243161.0,"['13830', '3356', '3223', '136933', '136933', '136933', '136933', '132325']",3223,1733243125,1733245098
103.71.154.0/24,136933,132325,1733243161.0,"['29504', '39392', '33891', '3223', '136933', '136933', '136933', '136933', '132325']",3223,1733243125,1733245098
103.71.154.0/24,136933,132325,1733243161.0,"['29504', '15935', '33891', '59796', '136933', '132325']",59796,1733243125,1733245098
103.71.154.0/24,136933,132325,1733243161.0,"['29504', '15935', '33891', '59796', '136933', '132325']",59796,1733243125,1733245098
103.71.154.0/24,136933,132325,1733243161.0,"['57821', '12586', '3257', '33891', '59796', '136933', '132325']",59796,1733243125,1733245098
103.71.154.0/24,136933,132325,1733243161.0,"['7018', '1299', '59796', '136933', '132325']",59796,1733243125,1733245098
103.71.154.0/24,136933,132325,1733243161.0,"['20205', '6939', '59796', '136933', '132325']",59796,1733243125,1733245098
103.71.154.0/24,136933,132325,1733243161.0,"['61218', '6939', '3223', '136933', '136933', '136933', '136933', '132325']",3223,1733243125,1733245098
103.71.154.0/24,136933,132325,1733243161.0,"['61218', '6939', '3356', '3223', '136933', '136933', '136933', '136933', '132325']",3223,1733243125,1733245098
103.71.154.0/24,136933,132325,1733243161.0,"['61218', '6939', '59796', '136933', '132325']",59796,1733243125,1733245098
103.71.154.0/24,136933,132325,1733243161.0,"['3333', '1103', '33891', '59796', '136933', '132325']",59796,1733243125,1733245098
103.71.154.0/24,136933,132325,1733243161.0,"['3333', '1257', '1299', '59796', '136933', '132325']",59796,1733243125,1733245098
103.71.154.0/24,136933,132325,1733243161.0,"['34927', '1299', '59796', '136933', '132325']",59796,1733243125,1733245098
103.71.154.0/24,136933,132325,1733243161.0,"['22652', '33891', '59796', '136933', '132325']",59796,1733243125,1733245098
103.71.154.0/24,136933,132325,1733243161.0,"['44393', '394256', '6939', '59796', '136933', '132325']",59796,1733243125,1733245098
